2023-08-01 08:15:16.254 -04:00 [INF] Starting up!
2023-08-01 08:15:16.351 -04:00 [INF] ElevatorSensorData { MovementDirection = Up, MovementState = Stopped, ElevatorEvent = Idling, CurrentFloor = 1, NextFloor = 1, CurrentWeight = 0, MaxWeight = 1000, WeightLimitReached = False }
2023-08-01 08:15:19.806 -04:00 [INF] ButtonPress { Floor = 10, MovementDirection = Inside }
2023-08-01 08:15:19.813 -04:00 [INF] ElevatorSensorData { MovementDirection = Up, MovementState = Moving, ElevatorEvent = StartMovingToFloor, CurrentFloor = 1, NextFloor = 2, CurrentWeight = 0, MaxWeight = 1000, WeightLimitReached = False }
2023-08-01 08:15:20.149 -04:00 [INF] ButtonPress { Floor = 1, MovementDirection = Inside }
2023-08-01 08:15:20.537 -04:00 [INF] ButtonPress { Floor = 2, MovementDirection = Inside }
2023-08-01 08:15:22.815 -04:00 [INF] ElevatorSensorData { MovementDirection = Up, MovementState = Moving, ElevatorEvent = FinishedMovingToFloor, CurrentFloor = 2, NextFloor = 2, CurrentWeight = 0, MaxWeight = 1000, WeightLimitReached = False }
2023-08-01 08:15:22.826 -04:00 [INF] ElevatorSensorData { MovementDirection = Up, MovementState = Moving, ElevatorEvent = StartMovingToFloor, CurrentFloor = 2, NextFloor = 3, CurrentWeight = 0, MaxWeight = 1000, WeightLimitReached = False }
2023-08-01 08:15:25.830 -04:00 [INF] ElevatorSensorData { MovementDirection = Up, MovementState = Moving, ElevatorEvent = FinishedMovingToFloor, CurrentFloor = 3, NextFloor = 3, CurrentWeight = 0, MaxWeight = 1000, WeightLimitReached = False }
2023-08-01 08:15:25.838 -04:00 [INF] ElevatorSensorData { MovementDirection = Up, MovementState = Moving, ElevatorEvent = StartMovingToFloor, CurrentFloor = 3, NextFloor = 4, CurrentWeight = 0, MaxWeight = 1000, WeightLimitReached = False }
2023-08-01 08:15:28.846 -04:00 [INF] ElevatorSensorData { MovementDirection = Up, MovementState = Moving, ElevatorEvent = FinishedMovingToFloor, CurrentFloor = 4, NextFloor = 4, CurrentWeight = 0, MaxWeight = 1000, WeightLimitReached = False }
2023-08-01 08:15:28.854 -04:00 [INF] ElevatorSensorData { MovementDirection = Up, MovementState = Moving, ElevatorEvent = StartMovingToFloor, CurrentFloor = 4, NextFloor = 5, CurrentWeight = 0, MaxWeight = 1000, WeightLimitReached = False }
